Evaluation_counter,Function_value,Function_ID,Algorithm_ID,Problem_dimension,Run_ID
40,-47.0139517142491,continuous,DE_p,16,0
60,-47.0139517142491,continuous,DE_p,16,0
80,13.676952278262249,continuous,DE_p,16,0
100,13.676952278262249,continuous,DE_p,16,0
120,13.676952278262249,continuous,DE_p,16,0
140,13.676952278262249,continuous,DE_p,16,0
160,13.676952278262249,continuous,DE_p,16,0
180,13.676952278262249,continuous,DE_p,16,0
200,13.676952278262249,continuous,DE_p,16,0
220,23.72249169504029,continuous,DE_p,16,0
240,23.72249169504029,continuous,DE_p,16,0
260,23.72249169504029,continuous,DE_p,16,0
280,23.72249169504029,continuous,DE_p,16,0
300,23.72249169504029,continuous,DE_p,16,0
320,23.72249169504029,continuous,DE_p,16,0
340,23.72249169504029,continuous,DE_p,16,0
360,23.72249169504029,continuous,DE_p,16,0
380,23.72249169504029,continuous,DE_p,16,0
400,23.72249169504029,continuous,DE_p,16,0
420,23.72249169504029,continuous,DE_p,16,0
440,23.72249169504029,continuous,DE_p,16,0
460,23.72249169504029,continuous,DE_p,16,0
480,57.029827348350864,continuous,DE_p,16,0
500,57.029827348350864,continuous,DE_p,16,0
520,57.029827348350864,continuous,DE_p,16,0
540,57.029827348350864,continuous,DE_p,16,0
560,57.029827348350864,continuous,DE_p,16,0
580,57.029827348350864,continuous,DE_p,16,0
600,57.029827348350864,continuous,DE_p,16,0
620,57.029827348350864,continuous,DE_p,16,0
640,57.029827348350864,continuous,DE_p,16,0
660,57.029827348350864,continuous,DE_p,16,0
680,57.029827348350864,continuous,DE_p,16,0
700,57.029827348350864,continuous,DE_p,16,0
720,57.029827348350864,continuous,DE_p,16,0
740,57.029827348350864,continuous,DE_p,16,0
760,57.029827348350864,continuous,DE_p,16,0
780,57.029827348350864,continuous,DE_p,16,0
800,57.029827348350864,continuous,DE_p,16,0
820,57.029827348350864,continuous,DE_p,16,0
840,57.029827348350864,continuous,DE_p,16,0
860,57.029827348350864,continuous,DE_p,16,0
880,57.029827348350864,continuous,DE_p,16,0
900,57.029827348350864,continuous,DE_p,16,0
920,57.029827348350864,continuous,DE_p,16,0
940,57.029827348350864,continuous,DE_p,16,0
960,151.20459376294136,continuous,DE_p,16,0
980,151.20459376294136,continuous,DE_p,16,0
1000,151.20459376294136,continuous,DE_p,16,0
40,-49.685050778115496,continuous,DE_p,16,1
60,-49.685050778115496,continuous,DE_p,16,1
80,-49.685050778115496,continuous,DE_p,16,1
100,-23.591636800955868,continuous,DE_p,16,1
120,13.240419948545068,continuous,DE_p,16,1
140,13.240419948545068,continuous,DE_p,16,1
160,13.240419948545068,continuous,DE_p,16,1
180,13.240419948545068,continuous,DE_p,16,1
200,13.240419948545068,continuous,DE_p,16,1
220,13.240419948545068,continuous,DE_p,16,1
240,13.776707500096805,continuous,DE_p,16,1
260,13.776707500096805,continuous,DE_p,16,1
280,13.776707500096805,continuous,DE_p,16,1
300,13.776707500096805,continuous,DE_p,16,1
320,36.744677961306564,continuous,DE_p,16,1
340,36.744677961306564,continuous,DE_p,16,1
360,41.91023050719618,continuous,DE_p,16,1
380,41.91023050719618,continuous,DE_p,16,1
400,41.91023050719618,continuous,DE_p,16,1
420,41.91023050719618,continuous,DE_p,16,1
440,41.91023050719618,continuous,DE_p,16,1
460,41.91023050719618,continuous,DE_p,16,1
480,41.91023050719618,continuous,DE_p,16,1
500,41.91023050719618,continuous,DE_p,16,1
520,244.77046334662035,continuous,DE_p,16,1
540,244.77046334662035,continuous,DE_p,16,1
560,244.77046334662035,continuous,DE_p,16,1
580,244.77046334662035,continuous,DE_p,16,1
600,244.77046334662035,continuous,DE_p,16,1
620,244.77046334662035,continuous,DE_p,16,1
640,244.77046334662035,continuous,DE_p,16,1
660,244.77046334662035,continuous,DE_p,16,1
680,244.77046334662035,continuous,DE_p,16,1
700,244.77046334662035,continuous,DE_p,16,1
720,244.77046334662035,continuous,DE_p,16,1
740,244.77046334662035,continuous,DE_p,16,1
760,244.77046334662035,continuous,DE_p,16,1
780,244.77046334662035,continuous,DE_p,16,1
800,244.77046334662035,continuous,DE_p,16,1
820,244.77046334662035,continuous,DE_p,16,1
840,244.77046334662035,continuous,DE_p,16,1
860,244.77046334662035,continuous,DE_p,16,1
880,244.77046334662035,continuous,DE_p,16,1
900,244.77046334662035,continuous,DE_p,16,1
920,244.77046334662035,continuous,DE_p,16,1
940,244.77046334662035,continuous,DE_p,16,1
960,244.77046334662035,continuous,DE_p,16,1
980,244.77046334662035,continuous,DE_p,16,1
1000,244.77046334662035,continuous,DE_p,16,1
40,-52.83811831737461,continuous,DE_p,16,2
60,-52.83811831737461,continuous,DE_p,16,2
80,-52.83811831737461,continuous,DE_p,16,2
100,10.548046675823528,continuous,DE_p,16,2
120,10.548046675823528,continuous,DE_p,16,2
140,10.548046675823528,continuous,DE_p,16,2
160,10.548046675823528,continuous,DE_p,16,2
180,10.548046675823528,continuous,DE_p,16,2
200,10.548046675823528,continuous,DE_p,16,2
220,17.98835123897888,continuous,DE_p,16,2
240,17.98835123897888,continuous,DE_p,16,2
260,17.98835123897888,continuous,DE_p,16,2
280,17.98835123897888,continuous,DE_p,16,2
300,17.98835123897888,continuous,DE_p,16,2
320,17.98835123897888,continuous,DE_p,16,2
340,17.98835123897888,continuous,DE_p,16,2
360,17.98835123897888,continuous,DE_p,16,2
380,17.98835123897888,continuous,DE_p,16,2
400,17.98835123897888,continuous,DE_p,16,2
420,17.98835123897888,continuous,DE_p,16,2
440,55.4189566892789,continuous,DE_p,16,2
460,55.4189566892789,continuous,DE_p,16,2
480,55.4189566892789,continuous,DE_p,16,2
500,55.4189566892789,continuous,DE_p,16,2
520,55.4189566892789,continuous,DE_p,16,2
540,55.4189566892789,continuous,DE_p,16,2
560,55.4189566892789,continuous,DE_p,16,2
580,55.4189566892789,continuous,DE_p,16,2
600,55.4189566892789,continuous,DE_p,16,2
620,55.4189566892789,continuous,DE_p,16,2
640,55.4189566892789,continuous,DE_p,16,2
660,55.4189566892789,continuous,DE_p,16,2
680,55.4189566892789,continuous,DE_p,16,2
700,55.4189566892789,continuous,DE_p,16,2
720,55.4189566892789,continuous,DE_p,16,2
740,55.4189566892789,continuous,DE_p,16,2
760,55.4189566892789,continuous,DE_p,16,2
780,55.4189566892789,continuous,DE_p,16,2
800,55.4189566892789,continuous,DE_p,16,2
820,55.4189566892789,continuous,DE_p,16,2
