Evaluation_counter,Function_value,Function_ID,Algorithm_ID,Problem_dimension,Run_ID
40,-52.26669575600175,discrete,DE_bin,32,0
60,12.382176988093931,discrete,DE_bin,32,0
80,12.382176988093931,discrete,DE_bin,32,0
100,12.382176988093931,discrete,DE_bin,32,0
120,27.681591470115208,discrete,DE_bin,32,0
140,27.681591470115208,discrete,DE_bin,32,0
160,27.681591470115208,discrete,DE_bin,32,0
180,27.681591470115208,discrete,DE_bin,32,0
200,27.681591470115208,discrete,DE_bin,32,0
220,27.681591470115208,discrete,DE_bin,32,0
240,27.681591470115208,discrete,DE_bin,32,0
260,27.681591470115208,discrete,DE_bin,32,0
280,27.681591470115208,discrete,DE_bin,32,0
300,27.681591470115208,discrete,DE_bin,32,0
320,27.681591470115208,discrete,DE_bin,32,0
340,136.41420798863803,discrete,DE_bin,32,0
360,136.41420798863803,discrete,DE_bin,32,0
380,136.41420798863803,discrete,DE_bin,32,0
400,136.41420798863803,discrete,DE_bin,32,0
420,136.41420798863803,discrete,DE_bin,32,0
440,136.41420798863803,discrete,DE_bin,32,0
460,136.41420798863803,discrete,DE_bin,32,0
480,136.41420798863803,discrete,DE_bin,32,0
500,136.41420798863803,discrete,DE_bin,32,0
520,136.41420798863803,discrete,DE_bin,32,0
540,136.41420798863803,discrete,DE_bin,32,0
560,136.41420798863803,discrete,DE_bin,32,0
580,136.41420798863803,discrete,DE_bin,32,0
600,136.41420798863803,discrete,DE_bin,32,0
620,233.34459113233592,discrete,DE_bin,32,0
640,233.34459113233592,discrete,DE_bin,32,0
660,233.34459113233592,discrete,DE_bin,32,0
680,233.34459113233592,discrete,DE_bin,32,0
700,233.34459113233592,discrete,DE_bin,32,0
720,233.34459113233592,discrete,DE_bin,32,0
740,233.34459113233592,discrete,DE_bin,32,0
760,233.34459113233592,discrete,DE_bin,32,0
780,233.34459113233592,discrete,DE_bin,32,0
800,233.34459113233592,discrete,DE_bin,32,0
820,233.34459113233592,discrete,DE_bin,32,0
840,233.34459113233592,discrete,DE_bin,32,0
860,233.34459113233592,discrete,DE_bin,32,0
880,233.34459113233592,discrete,DE_bin,32,0
900,233.34459113233592,discrete,DE_bin,32,0
920,233.34459113233592,discrete,DE_bin,32,0
940,233.34459113233592,discrete,DE_bin,32,0
960,233.34459113233592,discrete,DE_bin,32,0
980,233.34459113233592,discrete,DE_bin,32,0
1000,233.34459113233592,discrete,DE_bin,32,0
40,-57.345474896050455,discrete,DE_bin,32,1
60,-42.11758923964226,discrete,DE_bin,32,1
80,-42.11758923964226,discrete,DE_bin,32,1
100,-3.1502606158466904,discrete,DE_bin,32,1
120,-3.1502606158466904,discrete,DE_bin,32,1
140,-3.1502606158466904,discrete,DE_bin,32,1
160,-3.1502606158466904,discrete,DE_bin,32,1
180,-3.1502606158466904,discrete,DE_bin,32,1
200,246.78196321424494,discrete,DE_bin,32,1
220,246.78196321424494,discrete,DE_bin,32,1
240,246.78196321424494,discrete,DE_bin,32,1
260,246.78196321424494,discrete,DE_bin,32,1
280,246.78196321424494,discrete,DE_bin,32,1
300,246.78196321424494,discrete,DE_bin,32,1
320,246.78196321424494,discrete,DE_bin,32,1
340,246.78196321424494,discrete,DE_bin,32,1
360,246.78196321424494,discrete,DE_bin,32,1
380,246.78196321424494,discrete,DE_bin,32,1
400,246.78196321424494,discrete,DE_bin,32,1
420,246.78196321424494,discrete,DE_bin,32,1
440,246.78196321424494,discrete,DE_bin,32,1
460,246.78196321424494,discrete,DE_bin,32,1
480,246.78196321424494,discrete,DE_bin,32,1
500,246.78196321424494,discrete,DE_bin,32,1
520,246.78196321424494,discrete,DE_bin,32,1
540,279.58989642172344,discrete,DE_bin,32,1
560,279.58989642172344,discrete,DE_bin,32,1
580,279.58989642172344,discrete,DE_bin,32,1
600,279.58989642172344,discrete,DE_bin,32,1
620,279.58989642172344,discrete,DE_bin,32,1
640,279.58989642172344,discrete,DE_bin,32,1
660,279.58989642172344,discrete,DE_bin,32,1
680,279.58989642172344,discrete,DE_bin,32,1
700,279.58989642172344,discrete,DE_bin,32,1
720,279.58989642172344,discrete,DE_bin,32,1
740,279.58989642172344,discrete,DE_bin,32,1
760,279.58989642172344,discrete,DE_bin,32,1
780,279.58989642172344,discrete,DE_bin,32,1
800,279.58989642172344,discrete,DE_bin,32,1
820,279.58989642172344,discrete,DE_bin,32,1
