Evaluation_counter,Function_value,Function_ID,Algorithm_ID,Problem_dimension,Run_ID
40,-89.15786313385466,discrete,DE_p_nfl_2,32,0
60,-89.15786313385466,discrete,DE_p_nfl_2,32,0
80,-89.15786313385466,discrete,DE_p_nfl_2,32,0
100,-40.25113185925157,discrete,DE_p_nfl_2,32,0
120,-40.25113185925157,discrete,DE_p_nfl_2,32,0
140,-37.27540893270918,discrete,DE_p_nfl_2,32,0
160,5.940280206687248,discrete,DE_p_nfl_2,32,0
180,5.940280206687248,discrete,DE_p_nfl_2,32,0
200,5.940280206687248,discrete,DE_p_nfl_2,32,0
220,5.940280206687248,discrete,DE_p_nfl_2,32,0
240,5.940280206687248,discrete,DE_p_nfl_2,32,0
260,5.940280206687248,discrete,DE_p_nfl_2,32,0
280,16.055263568371487,discrete,DE_p_nfl_2,32,0
300,16.055263568371487,discrete,DE_p_nfl_2,32,0
320,16.055263568371487,discrete,DE_p_nfl_2,32,0
340,16.055263568371487,discrete,DE_p_nfl_2,32,0
360,52.77343521017988,discrete,DE_p_nfl_2,32,0
380,52.77343521017988,discrete,DE_p_nfl_2,32,0
400,52.77343521017988,discrete,DE_p_nfl_2,32,0
420,52.77343521017988,discrete,DE_p_nfl_2,32,0
440,52.77343521017988,discrete,DE_p_nfl_2,32,0
460,52.77343521017988,discrete,DE_p_nfl_2,32,0
480,52.77343521017988,discrete,DE_p_nfl_2,32,0
500,52.77343521017988,discrete,DE_p_nfl_2,32,0
520,52.77343521017988,discrete,DE_p_nfl_2,32,0
540,52.77343521017988,discrete,DE_p_nfl_2,32,0
560,52.77343521017988,discrete,DE_p_nfl_2,32,0
580,52.77343521017988,discrete,DE_p_nfl_2,32,0
600,52.77343521017988,discrete,DE_p_nfl_2,32,0
620,52.77343521017988,discrete,DE_p_nfl_2,32,0
640,52.77343521017988,discrete,DE_p_nfl_2,32,0
660,52.77343521017988,discrete,DE_p_nfl_2,32,0
680,52.77343521017988,discrete,DE_p_nfl_2,32,0
700,52.77343521017988,discrete,DE_p_nfl_2,32,0
720,52.77343521017988,discrete,DE_p_nfl_2,32,0
740,52.77343521017988,discrete,DE_p_nfl_2,32,0
760,52.77343521017988,discrete,DE_p_nfl_2,32,0
780,52.77343521017988,discrete,DE_p_nfl_2,32,0
800,52.77343521017988,discrete,DE_p_nfl_2,32,0
820,224.67343932289376,discrete,DE_p_nfl_2,32,0
840,224.67343932289376,discrete,DE_p_nfl_2,32,0
860,224.67343932289376,discrete,DE_p_nfl_2,32,0
880,224.67343932289376,discrete,DE_p_nfl_2,32,0
900,224.67343932289376,discrete,DE_p_nfl_2,32,0
920,224.67343932289376,discrete,DE_p_nfl_2,32,0
940,224.67343932289376,discrete,DE_p_nfl_2,32,0
960,224.67343932289376,discrete,DE_p_nfl_2,32,0
980,224.67343932289376,discrete,DE_p_nfl_2,32,0
1000,224.67343932289376,discrete,DE_p_nfl_2,32,0
40,-81.35765881895293,discrete,DE_p_nfl_2,32,1
60,-81.35765881895293,discrete,DE_p_nfl_2,32,1
80,-81.35765881895293,discrete,DE_p_nfl_2,32,1
100,-71.02982941522214,discrete,DE_p_nfl_2,32,1
120,-36.727433277268986,discrete,DE_p_nfl_2,32,1
140,14.11620754468305,discrete,DE_p_nfl_2,32,1
160,14.11620754468305,discrete,DE_p_nfl_2,32,1
180,14.11620754468305,discrete,DE_p_nfl_2,32,1
200,14.11620754468305,discrete,DE_p_nfl_2,32,1
220,14.11620754468305,discrete,DE_p_nfl_2,32,1
